Density,EnergyType,Max.,Min.,RMS
0.5,0,127.64,-86.11,78.02
0.5,0,11.89,-40.82,21.67
0.5,0,26.36,-12.96,11.65
0.5,0,6.46,-23.17,12.46
0.5,0,6.75,-14.73,8.07
0.5,1,87.78,-60.55,55.47
0.5,1,6.75,-23.18,13.88
0.5,1,20.23,-14.10,10.52
0.5,1,-1.75,-12.18,7.99
0.5,1,-0.57,-10.48,6.26
0.5,2,69.06,-48.73,43.91
0.5,2,5.52,-17.96,11.61
0.5,2,16.80,-15.65,10.57
0.5,2,-3.26,-9.40,6.97
0.5,2,-0.63,-9.46,5.83
0.5,5,53.42,-37.66,32.73
0.5,5,4.70,-13.39,9.69
0.5,5,13.39,-16.64,9.94
0.5,5,-2.56,-8.91,6.21
0.5,5,-0.53,-8.82,5.49
1.5,1,158.39,-98.07,93.19
1.5,1,72.00,-66.82,44.39
1.5,1,125.15,-27.46,44.61
1.5,1,23.30,-44.12,21.88
1.5,1,28.58,-15.42,13.45
1.5,2,141.82,-93.53,85.70
1.5,2,29.00,-52.27,28.63
1.5,2,40.17,-19.76,18.00
1.5,2,12.74,-31.80,15.72
1.5,2,14.17,-14.27,9.16
1.5,5,118.13,-82.85,73.71
1.5,5,5.70,-37.29,19.16
1.5,5,21.94,-13.58,10.21
1.5,5,2.39,-21.41,11.13
1.5,5,2.91,-12.79,6.72
2.0,1,154.17,-99.67,96.16
2.0,1,128.91,-80.99,65.55
2.0,1,326.66,-38.95,102.85
2.0,1,36.18,-59.50,29.68
2.0,1,52.64,-17.11,21.08
2.0,2,156.21,-98.13,92.77
2.0,2,68.61,-67.02,43.42
2.0,2,119.89,-28.04,43.08
2.0,2,22.48,-44.41,21.75
2.0,2,26.36,-15.75,12.82
2.0,5,138.99,-92.44,84.19
2.0,5,23.69,-49.79,26.64
2.0,5,34.97,-18.18,15.72
2.0,5,8.89,-30.17,14.59
2.0,5,10.44,-14.53,7.80
2.5,1,124.56,-99.95,95.51
2.5,1,197.97,-89.67,87.72
2.5,1,693.89,-50.05,206.14
2.5,1,48.88,-72.01,36.83
2.5,1,84.63,-22.08,31.02
2.5,2,155.88,-99.51,95.58
2.5,2,105.97,-78.23,59.04
2.5,2,258.12,-36.78,83.49
2.5,2,30.50,-56.21,27.65
2.5,2,42.97,-17.81,18.02
2.5,5,152.19,-96.85,90.46
2.5,5,47.68,-61.02,36.42
2.5,5,72.23,-23.70,29.92
2.5,5,15.06,-39.19,18.61
2.5,5,18.04,-15.52,9.69
